Spending_ID,Customer_ID,Product_Category_ID,Amount_Spent,Total_Products
1,1,1,635,1529
2,1,2,88,1529
3,1,3,546,1529
4,1,4,172,1529
5,1,5,88,1529
6,1,6,88,1529
7,1,7,1441,1529
8,2,1,11,21
9,2,2,1,21
10,2,3,6,21
11,2,4,2,21
12,2,5,1,21
13,2,6,6,21
14,2,7,15,21
15,3,1,426,734
16,3,2,49,734
17,3,3,127,734
18,3,4,111,734
19,3,5,21,734
20,3,6,42,734
21,3,7,692,734
22,4,1,11,48
23,4,2,4,48
24,4,3,20,48
25,4,4,10,48
26,4,5,3,48
27,4,6,5,48
28,4,7,43,48
29,5,1,173,407
30,5,2,43,407
31,5,3,118,407
32,5,4,46,407
33,5,5,27,407
34,5,6,15,407
35,5,7,392,407
36,6,1,520,702
37,6,2,42,702
38,6,3,98,702
39,6,5,42,702
40,6,6,14,702
41,6,7,688,702
42,7,1,235,563
43,7,2,65,563
44,7,3,164,563
45,7,4,50,563
46,7,5,49,563
47,7,6,27,563
48,7,7,536,563
49,8,1,76,146
50,8,2,10,146
51,8,3,56,146
52,8,4,3,146
53,8,5,1,146
54,8,6,23,146
55,8,7,123,146
56,9,1,14,44
57,9,3,24,44
58,9,4,3,44
59,9,5,3,44
60,9,6,2,44
61,9,7,42,44
62,10,1,28,36
63,10,3,6,36
64,10,4,1,36
65,10,5,1,36
66,10,6,13,36
67,10,7,23,36
68,11,1,6,45
69,11,2,16,45
70,11,3,11,45
71,11,4,11,45
72,11,5,1,45
73,11,6,16,45
74,11,7,29,45
75,12,1,194,1072
76,12,2,61,1072
77,12,3,480,1072
78,12,4,225,1072
79,12,5,112,1072
80,12,6,30,1072
81,12,7,1042,1072
82,13,1,233,296
83,13,2,2,296
84,13,3,53,296
85,13,4,3,296
86,13,5,5,296
87,13,6,14,296
88,13,7,282,296
89,14,1,3,41
90,14,2,14,41
91,14,3,17,41
92,14,4,6,41
93,14,5,1,41
94,14,6,5,41
95,14,7,36,41
96,15,1,1006,1270
97,15,2,22,1270
98,15,3,115,1270
99,15,4,59,1270
100,15,5,68,1270
101,15,6,45,1270
102,15,7,1225,1270
103,16,1,53,92
104,16,2,5,92
105,16,3,19,92
106,16,4,2,92
107,16,5,13,92
108,16,6,4,92
109,16,7,88,92
110,17,1,84,289
111,17,2,5,289
112,17,3,38,289
113,17,4,150,289
114,17,5,12,289
115,17,6,28,289
116,17,7,261,289
117,18,1,1012,1606
118,18,2,80,1606
119,18,3,498,1606
120,18,5,16,1606
121,18,6,176,1606
122,18,7,1430,1606
123,19,1,4,94
124,19,2,17,94
125,19,3,19,94
126,19,4,30,94
127,19,5,24,94
128,19,6,39,94
129,19,7,55,94
130,20,1,86,268
131,20,2,2,268
132,20,3,73,268
133,20,4,69,268
134,20,5,38,268
135,20,6,48,268
136,20,7,220,268
137,21,1,1,1729
138,21,2,1,1729
139,21,3,1725,1729
140,21,4,1,1729
141,21,5,1,1729
142,21,6,1,1729
143,21,7,1728,1729
144,22,1,867,953
145,22,3,86,953
146,22,6,19,953
147,22,7,934,953
148,23,1,384,539
149,23,3,102,539
150,23,4,21,539
151,23,5,32,539
152,23,6,5,539
153,23,7,534,539
154,24,1,270,345
155,24,2,3,345
156,24,3,27,345
157,24,4,39,345
158,24,5,6,345
159,24,6,99,345
160,24,7,246,345
161,25,1,6,62
162,25,2,4,62
163,25,3,25,62
164,25,4,15,62
165,25,5,12,62
166,25,6,13,62
167,25,7,49,62
168,26,1,173,216
169,26,2,4,216
170,26,3,30,216
171,26,4,3,216
172,26,5,6,216
173,26,6,41,216
174,26,7,175,216
175,27,1,36,121
176,27,2,2,121
177,27,3,42,121
178,27,4,20,121
179,27,5,21,121
180,27,6,10,121
181,27,7,111,121
182,28,1,684,1672
183,28,2,100,1672
184,28,3,801,1672
185,28,4,21,1672
186,28,5,66,1672
187,28,7,1672,1672
188,29,1,8,26
189,29,2,4,26
190,29,3,10,26
191,29,4,2,26
192,29,5,2,26
193,29,6,4,26
194,29,7,22,26
195,30,1,112,229
196,30,2,17,229
197,30,3,44,229
198,30,4,34,229
199,30,5,22,229
200,30,6,89,229
201,30,7,140,229
202,31,1,110,117
203,31,3,5,117
204,31,4,2,117
205,31,6,3,117
206,31,7,114,117
207,32,1,96,259
208,32,2,12,259
209,32,3,96,259
210,32,4,33,259
211,32,5,22,259
212,32,6,43,259
213,32,7,216,259
214,33,1,482,1174
215,33,2,34,1174
216,33,3,471,1174
217,33,4,119,1174
218,33,5,68,1174
219,33,6,22,1174
220,33,7,1152,1174
221,34,1,40,62
222,34,3,19,62
223,34,4,2,62
224,34,5,1,62
225,34,6,3,62
226,34,7,59,62
227,35,1,702,878
228,35,2,17,878
229,35,3,151,878
230,35,5,8,878
231,35,6,35,878
232,35,7,843,878
233,36,1,6,45
234,36,2,3,45
235,36,3,14,45
236,36,4,15,45
237,36,5,7,45
238,36,6,36,45
239,36,7,9,45
240,37,1,55,63
