Customer_ID,Z_CostContact,Z_Revenue
1,3,11
2,3,11
3,3,11
4,3,11
5,3,11
6,3,11
7,3,11
8,3,11
9,3,11
10,3,11
11,3,11
12,3,11
13,3,11
14,3,11
15,3,11
16,3,11
17,3,11
18,3,11
19,3,11
20,3,11
21,3,11
22,3,11
23,3,11
24,3,11
25,3,11
26,3,11
27,3,11
28,3,11
29,3,11
30,3,11
31,3,11
32,3,11
33,3,11
34,3,11
35,3,11
36,3,11
37,3,11
38,3,11
39,3,11
40,3,11
41,3,11
42,3,11
43,3,11
44,3,11
45,3,11
46,3,11
47,3,11
48,3,11
49,3,11
50,3,11
51,3,11
52,3,11
53,3,11
54,3,11
55,3,11
56,3,11
57,3,11
58,3,11
59,3,11
60,3,11
61,3,11
62,3,11
63,3,11
64,3,11
65,3,11
66,3,11
67,3,11
68,3,11
69,3,11
70,3,11
71,3,11
72,3,11
73,3,11
74,3,11
75,3,11
76,3,11
77,3,11
78,3,11
79,3,11
80,3,11
81,3,11
82,3,11
83,3,11
84,3,11
85,3,11
86,3,11
87,3,11
88,3,11
89,3,11
90,3,11
91,3,11
92,3,11
93,3,11
94,3,11
95,3,11
96,3,11
97,3,11
98,3,11
99,3,11
100,3,11
101,3,11
102,3,11
103,3,11
104,3,11
105,3,11
106,3,11
107,3,11
108,3,11
109,3,11
110,3,11
111,3,11
112,3,11
113,3,11
114,3,11
115,3,11
116,3,11
117,3,11
118,3,11
119,3,11
120,3,11
121,3,11
122,3,11
123,3,11
124,3,11
125,3,11
126,3,11
127,3,11
128,3,11
129,3,11
130,3,11
131,3,11
132,3,11
133,3,11
134,3,11
135,3,11
136,3,11
137,3,11
138,3,11
139,3,11
140,3,11
141,3,11
142,3,11
143,3,11
144,3,11
145,3,11
146,3,11
147,3,11
148,3,11
149,3,11
150,3,11
151,3,11
152,3,11
153,3,11
154,3,11
155,3,11
156,3,11
157,3,11
158,3,11
159,3,11
160,3,11
161,3,11
162,3,11
163,3,11
164,3,11
165,3,11
166,3,11
167,3,11
168,3,11
169,3,11
170,3,11
171,3,11
172,3,11
173,3,11
174,3,11
175,3,11
176,3,11
177,3,11
178,3,11
179,3,11
180,3,11
181,3,11
182,3,11
183,3,11
184,3,11
185,3,11
186,3,11
187,3,11
188,3,11
189,3,11
190,3,11
191,3,11
192,3,11
193,3,11
194,3,11
195,3,11
196,3,11
197,3,11
198,3,11
199,3,11
200,3,11
201,3,11
202,3,11
203,3,11
204,3,11
205,3,11
206,3,11
207,3,11
208,3,11
209,3,11
210,3,11
211,3,11
212,3,11
213,3,11
214,3,11
215,3,11
216,3,11
217,3,11
218,3,11
219,3,11
220,3,11
221,3,11
222,3,11
223,3,11
224,3,11
225,3,11
226,3,11
227,3,11
228,3,11
229,3,11
230,3,11
231,3,11
232,3,11
233,3,11
234,3,11
235,3,11
236,3,11
237,3,11
238,3,11
239,3,11
240,3,11
241,3,11
242,3,11
243,3,11
244,3,11
245,3,11
246,3,11
247,3,11
248,3,11
249,3,11
250,3,11
251,3,11
252,3,11
253,3,11
254,3,11
255,3,11
256,3,11
257,3,11
258,3,11
259,3,11
260,3,11
261,3,11
262,3,11
263,3,11
264,3,11
265,3,11
266,3,11
267,3,11
268,3,11
269,3,11
270,3,11
271,3,11
272,3,11
273,3,11
274,3,11
275,3,11
276,3,11
277,3,11
278,3,11
279,3,11
280,3,11
281,3,11
282,3,11
283,3,11
284,3,11
285,3,11
286,3,11
287,3,11
288,3,11
289,3,11
290,3,11
291,3,11
292,3,11
293,3,11
294,3,11
295,3,11
296,3,11
297,3,11
298,3,11
299,3,11
300,3,11
301,3,11
302,3,11
303,3,11
304,3,11
305,3,11
306,3,11
307,3,11
308,3,11
309,3,11
310,3,11
311,3,11
312,3,11
313,3,11
314,3,11
315,3,11
316,3,11
317,3,11
318,3,11
319,3,11
320,3,11
321,3,11
322,3,11
323,3,11
324,3,11
325,3,11
326,3,11
327,3,11
328,3,11
329,3,11
330,3,11
331,3,11
332,3,11
333,3,11
334,3,11
335,3,11
336,3,11
337,3,11
338,3,11
339,3,11
340,3,11
341,3,11
342,3,11
343,3,11
344,3,11
345,3,11
346,3,11
347,3,11
348,3,11
349,3,11
350,3,11
351,3,11
352,3,11
353,3,11
354,3,11
355,3,11
356,3,11
357,3,11
358,3,11
359,3,11
360,3,11
361,3,11
362,3,11
363,3,11
364,3,11
365,3,11
366,3,11
367,3,11
368,3,11
369,3,11
370,3,11
371,3,11
372,3,11
373,3,11
374,3,11
375,3,11
376,3,11
377,3,11
378,3,11
379,3,11
380,3,11
381,3,11
382,3,11
383,3,11
384,3,11
385,3,11
386,3,11
387,3,11
388,3,11
389,3,11
390,3,11
391,3,11
392,3,11
393,3,11
394,3,11
395,3,11
396,3,11
397,3,11
398,3,11
399,3,11
400,3,11
401,3,11
402,3,11
403,3,11
404,3,11
405,3,11
406,3,11
407,3,11
408,3,11
409,3,11
410,3,11
411,3,11
412,3,11
413,3,11
414,3,11
415,3,11
416,3,11
417,3,11
418,3,11
419,3,11
420,3,11
421,3,11
422,3,11
423,3,11
424,3,11
425,3,11
426,3,11
427,3,11
428,3,11
429,3,11
430,3,11
431,3,11
432,3,11
433,3,11
434,3,11
435,3,11
436,3,11
437,3,11
438,3,11
439,3,11
440,3,11
441,3,11
442,3,11
443,3,11
444,3,11
445,3,11
446,3,11
447,3,11
448,3,11
449,3,11
450,3,11
451,3,11
452,3,11
453,3,11
454,3,11
455,3,11
456,3,11
457,3,11
458,3,11
459,3,11
460,3,11
461,3,11
462,3,11
463,3,11
464,3,11
465,3,11
466,3,11
467,3,11
468,3,11
469,3,11
470,3,11
471,3,11
472,3,11
473,3,11
474,3,11
475,3,11
476,3,11
477,3,11
478,3,11
479,3,11
480,3,11
481,3,11
482,3,11
483,3,11
484,3,11
485,3,11
486,3,11
487,3,11
488,3,11
489,3,11
490,3,11
491,3,11
492,3,11
493,3,11
494,3,11
495,3,11
496,3,11
497,3,11
498,3,11
499,3,11
500,3,11
501,3,11
502,3,11
503,3,11
504,3,11
505,3,11
506,3,11
507,3,11
508,3,11
509,3,11
510,3,11
511,3,11
512,3,11
513,3,11
514,3,11
515,3,11
516,3,11
517,3,11
518,3,11
519,3,11
520,3,11
521,3,11
522,3,11
523,3,11
524,3,11
525,3,11
526,3,11
527,3,11
528,3,11
529,3,11
530,3,11
531,3,11
532,3,11
533,3,11
534,3,11
535,3,11
536,3,11
537,3,11
538,3,11
539,3,11
540,3,11
541,3,11
542,3,11
543,3,11
544,3,11
545,3,11
546,3,11
547,3,11
548,3,11
549,3,11
550,3,11
551,3,11
552,3,11
553,3,11
